"Year","Month","DAS (USD)","IFEM (USD)","BDC (USD)","GB Pounds","EURO","CFA Franc"
"2004","1","136.08","137.76","147.65","247.93","171.67","0.16",
"2004","2","135.16","136.44","142.95","252.78","171.09","0.20",
"2004","3","134.47","134.80","139.92","245.47","164.88","0.25",
"2004","4","133.51","137.23","138.85","240.26","159.87","0.24",
"2004","5","133.01","134.81","139.64","237.80","159.75","0.24",
"2004","6","132.75","133.54","140.00","242.54","161.53","0.24",
"2004","7","132.80","134.39","139.84","244.54","162.85","0.25",
"2004","8","132.83","133.23","140.33","241.61","161.66","0.25",
"2004","9","132.84","133.77","141.08","237.92","162.06","0.25",
"2004","10","132.86","133.76","140.54","240.05","165.91","0.25",
"2004","11","132.87","133.15","140.69","247.14","172.67","0.26",
"2004","12","132.86","133.14","138.71","256.48","177.95","0.27",
"2005","1","132.86","133.11","139.80","249.54","174.13","0.27",
"2005","2","132.85","133.15","139.93","250.51","173.05","0.26",
"2005","3","132.85","133.09","139.73","254.40","176.26","0.27",
"2005","4","132.85","133.06","141.77","251.48","171.80","0.26",
"2005","5","132.82","133.37","141.21","246.40","168.52","0.26",
"2005","6","132.87","134.35","141.85","241.77","161.67","0.25",
"2005","7","132.87","135.35","143.94","232.38","160.00","0.24",
"2005","8","133.23","135.94","145.82","237.55","162.81","0.25",
"2005","9","130.81","132.55","145.80","234.20","158.66","0.24",
"2005","10","130.84","131.09","144.99","228.38","155.75","0.24",
"2005","11","130.63","130.80","143.94","214.58","144.97","0.23",
"2005","12","130.29","130.08","141.93","225.33","153.07","0.23",
"2006","1","130.29","129.93","144.09","227.93","156.43","0.24",
"2006","2","129.59","129.33","145.47","224.40","153.31","0.23",
"2006","3","128.70","128.68","148.46","222.72","153.18","0.23",
"2006","4","128.47","128.58","147.85","224.89","156.24","0.24",
"2006","5","128.45","128.57","142.33","237.23","162.31","0.25",
"2006","6","128.45","128.50","136.82","234.41","160.95","0.24",
"2006","7","128.38","128.43","130.12","234.47","161.29","0.24",
"2006","8","128.33","128.43","130.46","240.73","162.90","0.25",
"2006","9","128.29","128.39","130.21","238.67","161.56","0.25",
"2006","10","128.28","128.42","130.30","238.67","161.56","0.25",
"2006","11","128.29","128.42","129.82","242.67","155.10","0.25",
"2006","12","128.29","128.39","129.32","249.37","167.82","0.24",
"2007","1","128.28","128.37","130.07","248.89","164.87","0.25",
"2007","2","128.27","128.33","130.00","248.55","166.00","0.24",
"2007","3","128.15","128.25","129.34","247.08","168.02","0.25",
"2007","4","127.98","128.25","129.00","252.28","171.45","0.26",
"2007","5","127.56","127.62","129.16","237.23","162.31","0.25",
"2007","6","127.41","127.50","128.33","250.57","169.31","0.26",
"2007","7","127.19","127.20","127.52","256.13","172.92","0.26",
"2007","8","126.68","126.57","127.43","251.87","170.71","0.26",
"2007","9","126.03","125.74","126.50","251.85","170.69","0.26",
"2007","10","124.28","123.56","126.50","251.97","175.36","0.27",
"2007","11","120.51","119.45","123.80","242.73","173.40","0.26",
"2007","12","118.21","118.11","121.07","236.79","170.61","0.26",
"2008","1","117.98","117.72","120.80","230.09","171.88","0.26",
"2008","2","118.21","117.50","119.57","229.26","172.30","0.26",
"2008","3","117.92","116.79","119.00","240.26","181.11","0.27",
"2008","4","117.87","117.47","118.95","231.24","183.74","0.28",
"2008","5","117.83","117.79","118.80","229.20","181.52","0.28",
"2008","6","117.81","117.74","118.70","229.18","181.45","0.27",
"2008","7","117.77","117.71","119.00","231.94","183.95","0.28",
"2008","8","117.74","117.69","119.00","220.26","174.61","0.27",
"2008","9","117.73","117.62","119.00","208.09","169.13","0.26",
"2008","10","117.72","117.72","119.00","196.90","154.82","0.24",
"2008","11","117.74","117.88","119.10","179.07","148.53","0.23",
"2008","12","126.48","134.33","137.65","192.00","174.72","0.26",
"2009","1","145.78","146.59","149.88","206.19","189.34","0.29",
"2009","2","147.14","149.12","156.93","210.17","186.48","0.28",
"2009","3","147.72","0.00","174.32","207.92","191.33","0.29",
"2009","4","147.23","0.00","180.27","214.27","192.23","0.29",
"2009","5","147.84","","180.63","225.42","199.60","0.30",
"2009","6","148.20","148.54","166.14","239.91","205.65","0.31",
"2009","7","148.59","149.88","155.13","240.66","207.36","0.32",
"2009","8","151.86","155.23","158.95","248.60","214.48","0.36",
